연도,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
2002,박한이,삼성,중견수,133,132,1135+2/3,1,0,270,11,4,0.996,0,0,0,-
2002,진갑용,삼성,포수,131,130,1130+2/3,11,2,972,92,12,0.99,12,71,50,41.3
2002,김종국,KIA,2루수,131,129,1138+1/3,9,0,286,421,83,0.987,0,0,0,-
2002,장성호,KIA,1루수,131,131,1152+1/3,7,0,1186,80,101,0.995,0,0,0,-
2002,김민재,SK,유격수,129,127,1075,15,0,186,347,54,0.973,0,0,0,-
2002,브리또,삼성,유격수,128,127,1072+2/3,22,0,181,308,59,0.957,0,0,0,-
2002,이승엽,삼성,1루수,128,128,1145+2/3,4,0,1122,91,87,0.997,0,0,0,-
2002,김한수,삼성,3루수,127,126,1115+1/3,11,0,94,236,20,0.968,0,0,0,-
2002,홍성흔,두산,포수,125,125,1050,14,0,883,87,14,0.986,7,85,51,37.5
2002,심정수,현대,우익수,125,125,1113+1/3,1,0,282,13,2,0.997,0,0,0,-
2002,임수민,한화,2루수,125,109,931+2/3,6,0,178,311,47,0.988,0,0,0,-
2002,페르난데스,SK,3루수,125,124,1025+1/3,24,0,100,227,17,0.932,0,0,0,-
2002,송지만,한화,우익수,124,120,1031+1/3,6,0,237,9,4,0.976,0,0,0,-
2002,안경현,두산,2루수,123,110,967+1/3,3,0,236,324,92,0.995,0,0,0,-
2002,박진만,현대,유격수,123,120,1040+2/3,12,0,188,357,82,0.978,0,0,0,-
2002,조인성,LG,포수,121,105,880,9,3,711,63,17,0.989,8,37,37,50.0
2002,최기문,롯데,포수,121,112,889+2/3,11,0,603,45,5,0.983,8,83,23,21.7
2002,권용관,LG,유격수,120,102,853,17,0,154,273,61,0.962,0,0,0,-
2002,박정환,삼성,2루수,119,106,905+2/3,6,0,186,279,66,0.987,0,0,0,-
2002,이종범,KIA,우익수,119,115,949,4,0,217,9,2,0.983,0,0,0,-
2002,이호준,SK,1루수,119,115,982,10,0,997,79,70,0.991,0,0,0,-
2002,최태원,SK,2루수,118,104,732,5,0,123,228,38,0.986,0,0,0,-
2002,장원진,두산,1루수,117,92,859,4,0,912,41,82,0.996,0,0,0,-
2002,정수근,두산,중견수,117,105,947+2/3,4,0,220,1,0,0.982,0,0,0,-
2002,양준혁,삼성,우익수,116,114,778+1/3,3,0,140,7,3,0.98,0,0,0,-
2002,박경완,현대,포수,116,94,841+2/3,2,5,687,53,12,0.997,8,59,31,34.4
2002,이숭용,현대,1루수,115,107,905+1/3,5,0,894,72,85,0.995,0,0,0,-
2002,최경환,두산,좌익수,113,85,777,0,0,143,8,1,1.0,0,0,0,-
2002,김상훈,KIA,포수,113,109,910,6,1,664,54,8,0.992,8,48,44,47.8
2002,김창희,KIA,중견수,113,79,794+1/3,7,0,150,6,2,0.957,0,0,0,-
2002,정성훈,KIA,3루수,111,101,894+1/3,11,0,72,170,13,0.957,0,0,0,-
