연도,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,XBH,GO,AO,GO/AO,GW_RBI,BB/K,P/PA,ISOP,XR,GPA
2002.0,장성호,KIA,0.343,133.0,586.0,481.0,82.0,165.0,29.0,0.0,19.0,251.0,95.0,2.0,8.0,86.0,14.0,9.0,53.0,15.0,0.522,0.445,0.967,48.0,0.365,0.0,48,146,125,1.17,0,1.62,3.92,0.179,106.7,0.331
2002.0,마해영,삼성,0.323,133.0,596.0,532.0,92.0,172.0,40.0,2.0,33.0,315.0,116.0,0.0,6.0,46.0,5.0,12.0,74.0,14.0,0.592,0.386,0.978,53.0,0.313,0.0,75,142,150,0.95,0,0.62,3.54,0.269,110.6,0.322
2002.0,이승엽,삼성,0.323,133.0,617.0,511.0,123.0,165.0,42.0,2.0,47.0,352.0,126.0,0.0,2.0,89.0,5.0,15.0,109.0,11.0,0.689,0.436,1.125,47.0,0.331,0.0,91,103,136,0.76,0,0.82,4.13,0.366,136.1,0.368
2002.0,심정수,현대,0.321,133.0,577.0,502.0,101.0,161.0,22.0,1.0,46.0,323.0,119.0,0.0,3.0,69.0,10.0,3.0,114.0,13.0,0.643,0.404,1.047,47.0,0.338,0.0,69,101,129,0.78,0,0.61,4.03,0.323,117.4,0.343
2002.0,김동주,두산,0.318,120.0,487.0,415.0,63.0,132.0,21.0,0.0,26.0,231.0,79.0,0.0,7.0,52.0,2.0,13.0,61.0,8.0,0.557,0.405,0.962,32.0,0.283,0.25,47,97,132,0.73,0,0.85,3.9,0.239,90.5,0.322
2002.0,이영우,한화,0.315,133.0,564.0,476.0,96.0,150.0,26.0,1.0,24.0,250.0,52.0,7.0,0.0,73.0,6.0,8.0,103.0,14.0,0.525,0.415,0.94,43.0,0.321,0.167,51,148,75,1.97,0,0.71,4.06,0.21,94.3,0.318
2002.0,김한수,삼성,0.311,127.0,541.0,486.0,69.0,151.0,23.0,1.0,17.0,227.0,76.0,2.0,4.0,35.0,2.0,14.0,61.0,15.0,0.467,0.371,0.838,44.0,0.287,0.0,41,153,125,1.22,0,0.57,3.69,0.156,79.0,0.284
2002.0,이진영,SK,0.308,128.0,475.0,419.0,73.0,129.0,22.0,8.0,13.0,206.0,40.0,6.0,3.0,42.0,3.0,5.0,57.0,7.0,0.492,0.375,0.867,36.0,0.193,0.5,43,136,100,1.36,0,0.74,3.51,0.184,71.9,0.292
2002.0,전준호,현대,0.3,126.0,501.0,420.0,83.0,126.0,15.0,8.0,3.0,166.0,28.0,14.0,1.0,53.0,1.0,13.0,51.0,2.0,0.395,0.394,0.789,32.0,0.278,0.0,26,136,108,1.26,0,1.04,3.94,0.095,70.3,0.276
2002.0,이병규,LG,0.293,109.0,444.0,389.0,54.0,114.0,25.0,0.0,12.0,175.0,43.0,1.0,2.0,50.0,12.0,2.0,57.0,6.0,0.45,0.375,0.825,30.0,0.253,0.0,37,135,85,1.59,0,0.88,3.72,0.157,63.4,0.281
2002.0,이종범,KIA,0.293,123.0,546.0,485.0,93.0,142.0,25.0,2.0,18.0,225.0,59.0,4.0,1.0,43.0,5.0,13.0,63.0,7.0,0.464,0.365,0.829,41.0,0.337,0.0,45,138,143,0.97,0,0.68,3.73,0.171,84.4,0.28
2002.0,송지만,한화,0.291,131.0,557.0,488.0,84.0,142.0,18.0,2.0,38.0,278.0,104.0,0.0,2.0,58.0,4.0,9.0,136.0,14.0,0.57,0.375,0.945,37.0,0.295,0.0,58,106,106,1.0,0,0.43,3.75,0.279,98.0,0.311
2002.0,채종범,SK,0.291,127.0,557.0,478.0,79.0,139.0,19.0,2.0,17.0,213.0,68.0,11.0,3.0,47.0,1.0,18.0,70.0,17.0,0.446,0.374,0.82,38.0,0.377,0.0,38,154,118,1.31,0,0.67,3.8,0.155,75.9,0.28
2002.0,홍성흔,두산,0.289,127.0,484.0,432.0,51.0,125.0,17.0,0.0,18.0,196.0,70.0,7.0,3.0,37.0,1.0,5.0,63.0,17.0,0.454,0.35,0.804,32.0,0.321,0.0,35,132,115,1.15,0,0.59,3.71,0.164,64.3,0.271
2002.0,이호준,SK,0.288,129.0,499.0,444.0,76.0,128.0,24.0,2.0,23.0,225.0,64.0,4.0,2.0,45.0,3.0,4.0,75.0,12.0,0.507,0.358,0.865,34.0,0.291,0.286,49,120,123,0.98,0,0.6,3.88,0.218,75.7,0.288
2002.0,안경현,두산,0.288,130.0,548.0,486.0,50.0,140.0,24.0,4.0,8.0,196.0,58.0,7.0,6.0,44.0,0.0,5.0,65.0,13.0,0.403,0.349,0.752,40.0,0.244,0.0,36,152,135,1.13,0,0.68,3.59,0.115,67.3,0.258
2002.0,박용택,LG,0.288,112.0,424.0,375.0,68.0,108.0,28.0,6.0,9.0,175.0,55.0,1.0,4.0,38.0,1.0,6.0,109.0,11.0,0.467,0.359,0.826,31.0,0.317,0.5,43,95,67,1.42,0,0.35,4.05,0.179,61.3,0.278
2002.0,강동우,삼성,0.288,130.0,521.0,466.0,75.0,134.0,23.0,3.0,9.0,190.0,49.0,7.0,1.0,46.0,0.0,1.0,76.0,9.0,0.408,0.352,0.76,36.0,0.33,0.0,35,150,107,1.4,0,0.61,3.97,0.12,65.0,0.26
2002.0,데이비스,한화,0.287,115.0,456.0,404.0,56.0,116.0,23.0,1.0,21.0,204.0,72.0,0.0,2.0,46.0,5.0,4.0,97.0,6.0,0.505,0.364,0.869,29.0,0.265,0.2,45,127,66,1.92,0,0.47,4.08,0.218,71.4,0.29
2002.0,김종국,KIA,0.287,133.0,595.0,527.0,95.0,151.0,26.0,3.0,8.0,207.0,53.0,3.0,1.0,61.0,0.0,3.0,116.0,5.0,0.393,0.363,0.756,41.0,0.298,1.0,37,150,111,1.35,0,0.53,3.85,0.106,82.1,0.262
2002.0,최기문,롯데,0.285,123.0,415.0,383.0,34.0,109.0,22.0,4.0,8.0,163.0,50.0,2.0,0.0,27.0,5.0,3.0,44.0,9.0,0.426,0.337,0.763,23.0,0.292,0.0,34,122,108,1.13,0,0.61,3.67,0.141,49.4,0.258
2002.0,이숭용,현대,0.284,125.0,480.0,422.0,63.0,120.0,18.0,2.0,19.0,199.0,76.0,4.0,2.0,40.0,2.0,12.0,54.0,11.0,0.472,0.361,0.833,31.0,0.287,0.0,39,123,127,0.97,0,0.74,3.89,0.187,70.2,0.28
2002.0,김응국,롯데,0.284,116.0,412.0,373.0,35.0,106.0,15.0,3.0,3.0,136.0,49.0,2.0,1.0,34.0,2.0,2.0,58.0,8.0,0.365,0.346,0.711,24.0,0.291,0.3,21,123,87,1.41,0,0.59,3.81,0.08,46.4,0.247
2002.0,브리또,삼성,0.283,128.0,545.0,481.0,89.0,136.0,29.0,0.0,25.0,240.0,90.0,4.0,4.0,35.0,3.0,21.0,84.0,10.0,0.499,0.355,0.854,40.0,0.286,0.0,54,114,151,0.75,0,0.42,3.61,0.216,82.4,0.285
2002.0,진갑용,삼성,0.281,133.0,517.0,462.0,58.0,130.0,29.0,1.0,18.0,215.0,86.0,1.0,5.0,41.0,4.0,8.0,56.0,13.0,0.465,0.347,0.812,34.0,0.358,0.0,48,134,147,0.91,0,0.73,3.78,0.184,71.5,0.272
2002.0,페르난데스,SK,0.281,132.0,556.0,499.0,81.0,140.0,24.0,0.0,45.0,299.0,107.0,0.0,1.0,49.0,2.0,7.0,114.0,8.0,0.599,0.353,0.952,42.0,0.303,0.0,69,108,138,0.78,0,0.43,3.85,0.319,100.1,0.309
2002.0,폴,현대,0.28,113.0,441.0,397.0,48.0,111.0,18.0,2.0,18.0,187.0,64.0,1.0,2.0,35.0,1.0,6.0,115.0,11.0,0.471,0.345,0.816,26.0,0.257,0.25,38,99,74,1.34,0,0.3,3.96,0.191,61.3,0.273
2002.0,마르티네스,LG,0.279,109.0,468.0,409.0,59.0,114.0,19.0,1.0,15.0,180.0,69.0,0.0,6.0,49.0,7.0,4.0,70.0,5.0,0.44,0.357,0.797,34.0,0.301,0.0,35,95,136,0.7,0,0.7,4.04,0.161,66.6,0.271
2002.0,박재홍,현대,0.278,112.0,481.0,432.0,57.0,120.0,24.0,0.0,15.0,189.0,67.0,0.0,4.0,41.0,2.0,4.0,94.0,10.0,0.438,0.343,0.781,38.0,0.309,0.667,39,110,112,0.98,0,0.44,3.76,0.16,63.0,0.264
2002.0,양준혁,삼성,0.276,132.0,437.0,391.0,60.0,108.0,23.0,2.0,14.0,177.0,50.0,0.0,1.0,39.0,3.0,5.0,56.0,9.0,0.453,0.349,0.802,27.0,0.237,0.214,39,107,121,0.88,0,0.7,3.73,0.176,58.5,0.27
2003.0,김동주,두산,0.342,118.0,504.0,401.0,61.0,137.0,23.0,2.0,23.0,233.0,89.0,0.0,13.0,79.0,8.0,11.0,53.0,15.0,0.581,0.45,1.031,39.0,0.387,0.5,16,143,117,1.22,0,0.48,3.75,0.047,45.7,0.226
2003.0,심정수,현대,0.335,133.0,601.0,460.0,110.0,154.0,16.0,1.0,53.0,331.0,142.0,0.0,8.0,124.0,17.0,9.0,63.0,14.0,0.72,0.478,1.198,45.0,0.346,0.0,36,168,122,1.38,0,0.76,3.96,0.115,67.0,0.257
2003.0,안경현,두산,0.333,128.0,539.0,475.0,65.0,158.0,28.0,3.0,10.0,222.0,72.0,6.0,5.0,48.0,2.0,5.0,43.0,21.0,0.467,0.396,0.863,45.0,0.328,0.0,24,145,109,1.33,0,0.6,3.58,0.1,49.3,0.238
2003.0,양준혁,삼성,0.329,133.0,551.0,490.0,90.0,161.0,37.0,2.0,33.0,301.0,92.0,4.0,2.0,49.0,2.0,6.0,49.0,13.0,0.614,0.395,1.009,48.0,0.354,0.0,36,164,157,1.04,0,0.58,3.61,0.129,57.1,0.235
2003.0,이진영,SK,0.328,128.0,562.0,481.0,81.0,158.0,29.0,6.0,17.0,250.0,70.0,13.0,2.0,62.0,1.0,4.0,76.0,6.0,0.52,0.408,0.928,45.0,0.364,0.0,33,127,107,1.19,0,0.44,3.85,0.142,49.9,0.242
2003.0,박한이,삼성,0.322,133.0,612.0,528.0,113.0,170.0,34.0,1.0,12.0,242.0,59.0,8.0,5.0,63.0,1.0,8.0,55.0,7.0,0.458,0.399,0.857,53.0,0.314,0.0,46,98,89,1.1,0,0.41,4.06,0.243,70.0,0.277
2003.0,김태균,한화,0.319,133.0,573.0,479.0,67.0,153.0,24.0,2.0,31.0,274.0,95.0,4.0,2.0,79.0,6.0,9.0,106.0,13.0,0.572,0.424,0.996,41.0,0.343,0.0,34,90,151,0.6,0,1.22,4.2,0.175,62.8,0.267
2003.0,장성호,KIA,0.315,130.0,571.0,476.0,93.0,150.0,36.0,2.0,21.0,253.0,105.0,3.0,5.0,84.0,7.0,3.0,52.0,7.0,0.532,0.417,0.949,38.0,0.348,0.0,14,138,138,1.0,0,0.86,3.71,0.052,42.4,0.211
2003.0,이종범,KIA,0.315,132.0,595.0,524.0,110.0,165.0,43.0,1.0,20.0,270.0,61.0,1.0,4.0,59.0,5.0,7.0,58.0,8.0,0.515,0.389,0.904,48.0,0.337,0.0,27,91,116,0.78,0,0.51,4.14,0.131,40.9,0.23
2003.0,김동수,현대,0.308,117.0,441.0,367.0,48.0,113.0,15.0,1.0,16.0,178.0,68.0,15.0,6.0,45.0,5.0,8.0,57.0,10.0,0.485,0.39,0.875,29.0,0.35,0.286,36,111,121,0.92,0,0.55,4.25,0.15,47.6,0.23
2003.0,조성환,롯데,0.307,129.0,543.0,486.0,73.0,149.0,25.0,2.0,6.0,196.0,38.0,7.0,1.0,37.0,3.0,12.0,57.0,5.0,0.403,0.369,0.772,43.0,0.279,0.0,48,94,130,0.72,0,1.49,3.96,0.239,101.1,0.348
2003.0,박재홍,KIA,0.301,108.0,461.0,392.0,71.0,118.0,15.0,5.0,19.0,200.0,66.0,6.0,2.0,60.0,1.0,1.0,84.0,11.0,0.51,0.393,0.903,36.0,0.315,0.0,70,105,146,0.72,0,1.97,3.97,0.385,144.7,0.395
2003.0,이승엽,삼성,0.301,131.0,596.0,479.0,115.0,144.0,23.0,0.0,56.0,335.0,144.0,0.0,6.0,101.0,9.0,10.0,89.0,11.0,0.699,0.428,1.127,41.0,0.346,0.0,41,113,166,0.68,0,1.12,3.45,0.135,79.3,0.295
2003.0,이영우,한화,0.297,133.0,590.0,498.0,90.0,148.0,28.0,4.0,16.0,232.0,71.0,3.0,3.0,78.0,7.0,8.0,71.0,7.0,0.466,0.399,0.865,42.0,0.311,0.0,72,139,143,0.97,0,1.0,3.62,0.286,104.1,0.331
2003.0,김한수,삼성,0.295,131.0,532.0,478.0,67.0,141.0,23.0,1.0,17.0,217.0,70.0,4.0,4.0,29.0,0.0,17.0,57.0,20.0,0.454,0.354,0.808,37.0,0.294,0.0,52,130,119,1.09,0,0.82,3.95,0.191,95.2,0.314
2003.0,이숭용,현대,0.294,133.0,573.0,511.0,70.0,150.0,25.0,0.0,18.0,229.0,76.0,7.0,4.0,47.0,0.0,4.0,69.0,10.0,0.448,0.355,0.803,46.0,0.246,0.0,47,197,111,1.77,0,1.15,3.9,0.136,96.1,0.294
