연도,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO
2002,엘비라,삼성,2.5,22,13,6,0,0,0.684,137,115,7,52,4,111,44,38,1.22,0,0,16,0,570,2228,0.23,22,2,11,2,1,8,0,21,13,0,1,0,0,4,122,155,0.79
2002,송진우,한화,2.99,31,18,7,0,0,0.72,220,199,16,54,11,165,82,73,1.15,8,1,21,0,905,3411,0.242,36,3,14,2,2,2,1,30,18,0,8,0,0,16,299,163,1.83
2002,임창용,삼성,3.08,36,17,6,2,0,0.739,204+1/3,188,24,34,24,160,82,70,1.09,0,0,16,0,841,3103,0.245,38,3,10,5,4,2,0,29,14,3,4,1,0,13,209,216,0.97
2002,리오스,KIA,3.14,54,14,5,13,1,0.737,157+2/3,140,14,44,24,102,59,55,1.17,3,0,9,0,662,2365,0.237,18,0,2,2,2,5,0,13,8,6,39,24,4,10,214,136,1.57
2002,이승호,SK,3.15,27,6,12,0,0,0.333,142+2/3,120,18,40,5,144,55,50,1.12,1,0,13,0,582,2289,0.229,31,2,9,3,4,2,0,19,5,1,6,1,0,8,129,135,0.96
2002,채병용,SK,3.19,51,7,9,11,2,0.438,141,120,20,44,9,126,51,50,1.16,2,2,8,0,578,2398,0.231,19,2,4,1,3,4,1,15,6,1,23,13,3,10,148,127,1.17
2002,키퍼,KIA,3.34,32,19,9,0,0,0.679,202+1/3,172,24,52,16,135,84,75,1.11,2,0,20,0,823,3144,0.233,21,1,10,7,2,12,0,32,19,0,2,0,0,13,171,267,0.64
2002,박명환,두산,3.44,30,14,10,0,0,0.583,185+2/3,173,12,68,7,169,78,71,1.3,0,0,17,0,782,2904,0.25,30,4,9,5,2,5,1,29,14,0,0,0,0,17,191,165,1.16
2002,손민한,롯데,3.67,23,4,9,0,0,0.308,142+1/3,144,19,30,4,82,68,58,1.22,2,1,13,0,586,2109,0.266,28,4,7,4,1,5,0,22,4,0,2,0,0,24,187,132,1.42
2002,구자운,두산,3.79,32,8,8,1,0,0.5,133,134,6,58,7,95,64,56,1.44,0,0,8,0,580,2225,0.27,36,3,12,7,1,2,0,23,6,2,2,2,0,10,103,171,0.6
2002,레스,두산,3.87,31,16,8,0,0,0.667,202+1/3,202,19,69,8,154,97,87,1.34,1,0,18,0,867,3158,0.261,28,3,17,0,1,5,0,31,16,0,1,0,0,20,273,144,1.9
2002,이상훈,두산,3.91,70,4,10,2,6,0.286,133+2/3,129,9,40,10,93,59,58,1.26,0,0,2,0,567,2025,0.258,18,3,15,2,5,6,0,8,1,3,19,9,0,12,171,109,1.57
2002,콜,두산,4.01,27,12,6,0,0,0.667,157,152,11,73,8,114,71,70,1.43,2,2,15,0,678,2680,0.26,17,5,5,7,1,10,0,27,12,0,2,0,0,12,160,166,0.96
2002,김진우,KIA,4.07,33,12,11,0,0,0.522,188,201,20,67,11,177,94,85,1.43,4,1,13,0,818,2987,0.277,23,3,11,4,1,14,1,29,12,0,4,0,0,16,236,115,2.05
2002,토레스,현대,4.19,28,10,11,0,0,0.476,180+1/3,182,21,64,21,97,97,84,1.36,3,2,15,0,778,2920,0.268,32,1,9,4,1,11,0,28,10,0,3,0,0,18,253,152,1.66
2002,만자니오,LG,4.32,31,8,11,0,1,0.421,162+1/3,161,13,94,21,122,85,78,1.57,2,0,14,0,735,3092,0.267,27,3,12,4,2,3,2,29,8,0,2,0,0,16,167,158,1.06
2002,염종석,롯데,4.36,31,8,14,0,0,0.364,159,180,15,36,15,108,93,77,1.36,0,0,13,0,690,2491,0.286,31,3,8,2,1,2,0,30,8,0,1,0,0,21,202,141,1.43
2002,최원호,LG,4.41,31,6,11,0,0,0.353,138+2/3,127,19,61,17,53,70,68,1.36,0,0,9,0,597,2323,0.249,26,3,6,3,2,8,0,27,6,0,1,0,0,18,168,165,1.02
