연도,선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
2002,김종국,KIA,133,59,50,9,84.7,0,0
2002,정수근,두산,122,54,40,14,74.1,0,0
2002,이종범,KIA,123,40,35,5,87.5,0,0
2002,전준호,현대,126,37,26,11,70.3,0,0
2002,마르티네스,LG,109,34,22,12,64.7,0,0
2002,김수연,한화,126,30,21,9,70.0,0,0
2002,유지현,LG,91,30,21,9,70.0,0,0
2002,박용택,LG,112,25,20,5,80.0,0,0
2002,정성훈,KIA,114,20,16,4,80.0,0,0
2002,이종열,LG,95,24,16,8,66.7,0,0
2002,최경환,두산,126,22,15,7,68.2,0,0
2002,김민재,SK,131,25,15,10,60.0,0,0
2002,데이비스,한화,115,23,14,9,60.9,0,0
2002,박한이,삼성,133,25,13,12,52.0,0,0
2002,이영우,한화,133,25,13,12,52.0,0,0
2002,권용관,LG,125,18,13,5,72.2,0,0
2002,박재홍,현대,112,20,12,8,60.0,0,0
2002,김응국,롯데,116,17,12,5,70.6,0,0
2002,강동우,삼성,130,17,11,6,64.7,0,0
2002,김경언,KIA,107,15,11,4,73.3,0,0
2002,김재현,LG,98,14,11,3,78.6,0,0
2002,이진영,SK,128,23,11,12,47.8,0,0
2002,전상렬,두산,125,13,10,3,76.9,0,0
2002,채종범,SK,127,19,10,9,52.6,0,0
2002,조성환,롯데,104,15,10,5,66.7,0,0
2002,이병규,LG,109,15,9,6,60.0,0,0
2002,김주찬,롯데,84,17,9,8,52.9,0,0
2002,송지만,한화,131,11,8,3,72.7,0,0
2002,송재익,SK,116,11,8,3,72.7,0,0
2002,김민호,두산,95,7,7,0,100.0,0,0
2002,이숭용,현대,125,9,7,2,77.8,0,0
2002,강석천,한화,94,10,7,3,70.0,0,0
2002,장성호,KIA,133,10,7,3,70.0,0,0
2002,홍세완,KIA,111,12,7,5,58.3,0,0
2002,신명철,롯데,81,15,7,8,46.7,0,0
2002,강봉규,두산,93,7,6,1,85.7,0,0
2002,박경완,현대,119,10,6,4,60.0,0,0
2002,정수성,현대,50,8,6,2,75.0,0,0
2002,신동주,KIA,81,8,6,2,75.0,0,0
2002,양용모,SK,74,6,6,0,100.0,0,0
