¿¬µµ,ÆÀ¸í,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
2001,Çö´ë,4.34,133.0,72.0,57.0,39.0,23.0,0.558,1183+1/3,1250.0,98.0,531.0,54.0,757.0,628.0,570.0,1.51,6,3,56,0,5218,20097.0,0.277,219,26,78,37,8,54,1.0
2001,SK,4.38,133.0,60.0,71.0,33.0,22.0,0.458,1171+1/3,1148.0,155.0,508.0,65.0,908.0,640.0,570.0,1.41,11,8,61,0,5110,19710.0,0.259,217,9,76,34,31,54,1.0
2001,»ï¼º,4.39,133.0,81.0,52.0,43.0,20.0,0.609,1187+1/3,1195.0,132.0,561.0,61.0,844.0,644.0,579.0,1.48,7,6,51,0,5243,20128.0,0.265,207,13,76,37,20,38,8.0
2001,·Ôµ¥,4.68,133.0,59.0,70.0,33.0,28.0,0.457,1171+2/3,1238.0,128.0,523.0,61.0,790.0,670.0,609.0,1.5,0,3,43,0,5189,19593.0,0.276,251,22,86,38,23,53,2.0
2001,ÇÑÈ­,4.82,133.0,61.0,68.0,25.0,33.0,0.473,1185,1288.0,142.0,541.0,66.0,813.0,733.0,634.0,1.54,7,5,49,0,5331,20774.0,0.28,238,26,73,45,44,57,5.0
2001,µÎ»ê,4.96,133.0,65.0,63.0,35.0,40.0,0.508,1180+1/3,1290.0,128.0,546.0,60.0,799.0,733.0,650.0,1.56,1,3,27,0,5282,20071.0,0.284,196,23,85,48,17,47,0.0
2001,KIA,5.01,133.0,60.0,68.0,28.0,16.0,0.469,1178+2/3,1231.0,160.0,499.0,79.0,743.0,727.0,656.0,1.47,10,6,35,0,5207,19799.0,0.272,212,16,71,36,17,51,3.0
2001,LG,5.09,133.0,58.0,67.0,26.0,27.0,0.464,1184+2/3,1253.0,127.0,647.0,69.0,765.0,732.0,670.0,1.6,0,3,43,0,5380,21119.0,0.277,204,23,99,46,43,52,6.0
2002,»ï¼º,3.92,133.0,82.0,47.0,37.0,22.0,0.636,1197+2/3,1182.0,148.0,385.0,74.0,987.0,581.0,521.0,1.31,2,8,45,0,5089,19535.0,0.262,214,22,80,33,16,45,3.0
2002,KIA,3.92,133.0,78.0,51.0,38.0,30.0,0.605,1195,1185.0,151.0,370.0,97.0,862.0,580.0,520.0,1.3,10,7,55,0,5106,19112.0,0.26,159,12,54,34,14,55,2.0
2002,LG,3.93,133.0,66.0,61.0,32.0,40.0,0.52,1190+2/3,1119.0,135.0,501.0,100.0,896.0,575.0,520.0,1.36,2,9,38,0,5145,20432.0,0.252,185,19,74,26,30,40,5.0
2002,µÎ»ê,3.93,133.0,66.0,65.0,38.0,43.0,0.504,1183,1139.0,99.0,479.0,60.0,954.0,562.0,517.0,1.37,3,6,60,0,5087,19237.0,0.257,187,23,77,33,30,44,2.0
2002,Çö´ë,4.23,133.0,70.0,58.0,38.0,36.0,0.547,1186+1/3,1219.0,142.0,416.0,64.0,890.0,614.0,558.0,1.38,3,6,49,0,5131,19927.0,0.268,230,10,64,32,12,54,5.0
2002,SK,4.47,133.0,61.0,69.0,25.0,15.0,0.469,1179,1150.0,176.0,402.0,78.0,948.0,638.0,586.0,1.32,5,7,54,0,5074,19578.0,0.255,209,15,55,23,34,34,3.0
2002,·Ôµ¥,4.72,133.0,35.0,97.0,13.0,19.0,0.265,1168,1269.0,130.0,443.0,83.0,775.0,710.0,612.0,1.47,5,7,49,0,5156,19635.0,0.281,266,28,70,45,16,40,1.0
2002,ÇÑÈ­,4.79,133.0,59.0,69.0,32.0,32.0,0.461,1184+2/3,1254.0,146.0,392.0,102.0,953.0,672.0,631.0,1.39,8,5,54,0,5198,20061.0,0.272,229,25,62,38,29,42,4.0
