¿¬µµ,ÆÀ¸í,G,SBA,SB,CS,SB%,OOB,PKO
2001,ÇÑÈ­,133,200,135,65.0,67.5,0,0.0
2001,µÎ»ê,133,166,132,34.0,79.5,0,0.0
2001,SK,133,182,123,59.0,67.6,0,0.0
2001,·Ôµ¥,133,159,106,53.0,66.7,0,0.0
2001,Çö´ë,133,154,99,55.0,64.3,0,0.0
2001,LG,133,154,96,58.0,62.3,0,0.0
2001,KIA,133,155,92,63.0,59.4,0,0.0
2001,»ï¼º,133,117,73,44.0,62.4,0,0.0
2002,KIA,133,194,155,39.0,79.9,54,8.0
2002,LG,133,203,140,63.0,69.0,46,7.0
2002,µÎ»ê,133,148,106,42.0,71.6,46,1.0
2002,ÇÑÈ­,133,159,94,65.0,59.1,38,3.0
2002,SK,133,135,80,55.0,59.3,60,11.0
2002,Çö´ë,133,129,79,50.0,61.2,50,6.0
2002,·Ôµ¥,133,139,76,63.0,54.7,51,9.0
2002,»ï¼º,133,76,47,29.0,61.8,49,5.0
2003,KIA,133,213,146,67.0,68.5,73,11.0
2003,LG,133,197,135,62.0,68.5,40,5.0
2003,·Ôµ¥,133,150,84,66.0,56.0,60,8.0
2003,SK,133,139,82,57.0,59.0,64,5.0
2003,ÇÑÈ­,133,135,78,57.0,57.8,64,12.0
2003,Çö´ë,133,123,75,48.0,61.0,72,5.0
2003,µÎ»ê,133,94,58,36.0,61.7,45,7.0
2003,»ï¼º,133,88,56,32.0,63.6,41,5.0
2004,·Ôµ¥,133,175,129,46.0,73.7,66,10.0
2004,KIA,133,181,127,54.0,70.2,38,10.0
2004,Çö´ë,133,145,100,45.0,69.0,67,6.0
2004,ÇÑÈ­,133,140,82,58.0,58.6,50,7.0
2004,µÎ»ê,133,130,71,59.0,54.6,59,9.0
2004,LG,133,117,69,48.0,59.0,56,7.0
2004,SK,133,97,50,47.0,51.5,53,4.0
2004,»ï¼º,133,82,50,32.0,61.0,50,14.0
2005,LG,126,194,149,45.0,76.8,30,10.0
2005,µÎ»ê,126,153,103,50.0,67.3,51,4.0
2005,KIA,126,144,101,43.0,70.1,43,6.0
2005,SK,126,155,101,54.0,65.2,58,15.0
2005,»ï¼º,126,135,97,38.0,71.9,42,7.0
2005,·Ôµ¥,126,140,88,52.0,62.9,57,8.0
2005,Çö´ë,126,119,81,38.0,68.1,56,12.0
2005,ÇÑÈ­,126,86,62,24.0,72.1,33,2.0
2006,µÎ»ê,126,189,132,57.0,69.8,72,8.0
2006,»ï¼º,126,173,121,52.0,69.9,56,6.0
2006,SK,126,164,117,47.0,71.3,58,11.0
2006,KIA,126,136,93,43.0,68.4,46,8.0
2006,LG,126,117,84,33.0,71.8,30,8.0
2006,Çö´ë,126,118,71,47.0,60.2,53,9.0
2006,ÇÑÈ­,126,93,65,28.0,69.9,41,3.0
2006,·Ôµ¥,126,103,62,41.0,60.2,68,7.0
2007,µÎ»ê,126,220,161,59.0,73.2,62,12.0
2007,SK,126,204,136,68.0,66.7,50,9.0
2007,LG,126,176,130,46.0,73.9,48,11.0
2007,»ï¼º,126,147,101,46.0,68.7,41,6.0
2007,KIA,126,114,70,44.0,61.4,30,5.0
2007,·Ôµ¥,126,113,67,46.0,59.3,56,3.0
2007,Çö´ë,126,87,51,36.0,58.6,57,5.0
2007,ÇÑÈ­,126,69,48,21.0,69.6,43,5.0
2008,µÎ»ê,126,252,189,63.0,75.0,47,8.0
2008,SK,126,253,170,83.0,67.2,52,7.0
2008,·Ôµ¥,126,201,133,68.0,66.2,77,9.0
2008,KIA,126,196,131,65.0,66.8,62,11.0
2008,LG,126,156,111,45.0,71.2,48,8.0
2008,ÇÑÈ­,126,122,97,25.0,79.5,38,4.0
2008,¿ì¸®,126,154,97,57.0,63.0,44,10.0
2008,»ï¼º,126,96,59,37.0,61.5,53,6.0
2009,È÷¾î·ÎÁî,133,259,192,67.0,74.1,50,8.0
2009,SK,133,249,181,68.0,72.7,60,10.0
2009,LG,133,188,141,47.0,75.0,56,6.0
2009,µÎ»ê,133,179,129,50.0,72.1,62,7.0
2009,»ï¼º,133,175,125,50.0,71.4,64,8.0
2009,KIA,133,165,113,52.0,68.5,64,12.0
2009,·Ôµ¥,133,151,106,45.0,70.2,69,6.0
2009,ÇÑÈ­,133,89,69,20.0,77.5,38,5.0
2010,LG,133,225,169,56.0,75.1,58,15.0
