¿¬µµ,ÆÀ¸í,AVG_Hitter,G_Hitter,PA_Hitter,AB_Hitter,R_Hitter,H_Hitter,2B_Hitter,3B_Hitter,HR_Hitter,TB_Hitter,RBI_Hitter,SAC_Hitter,SF_Hitter,BB_Hitter,IBB_Hitter,HBP_Hitter,SO_Hitter,GDP_Hitter,SLG_Hitter,OBP_Hitter,OPS_Hitter,MH_Hitter,RISP_Hitter,PH-BA_Hitter,ERA_Pitcher,G_Pitcher,W_Pitcher,L_Pitcher,SV_Pitcher,HLD_Pitcher,WPCT_Pitcher,IP_Pitcher,H_Pitcher,HR_Pitcher,BB_Pitcher,HBP_Pitcher,SO_Pitcher,R_Pitcher,ER_Pitcher,WHIP_Pitcher,CG_Pitcher,SHO_Pitcher,QS_Pitcher,BSV_Pitcher,TBF_Pitcher,NP_Pitcher,AVG_Pitcher,2B_Pitcher,3B_Pitcher,SAC_Pitcher,SF_Pitcher,IBB_Pitcher,WP_Pitcher,BK_Pitcher,G_Defense,E_Defense,PKO_Defense,PO_Defense,A_Defense,DP_Defense,FPCT_Defense,PB_Defense,SB_Defense,CS_Defense,CS%_Defense,G_Runner,SBA_Runner,SB_Runner,CS_Runner,SB%_Runner,OOB_Runner,PKO_Runner
2001,·Ôµ¥,0.28,133,5308,4521,718,1265,247,24,121,1923,671,82,60.0,585,39,60,817,89.0,0.425,0.365,0.79,133.0,0.288,0.244,4.68,133.0,59.0,70.0,33.0,28.0,0.457,1171+2/3,1238.0,128.0,523.0,61.0,790.0,670.0,609.0,1.5,0,3,43,0,5189,19593.0,0.276,251,22,86,38,23,53,2.0,133,99,9,3515,1518,141.0,0.981,12,85,58.0,40.6,133,159,106,53.0,66.7,0,0.0
2001,KIA,0.278,133,5189,4542,683,1263,221,17,142,1944,637,51,43.0,497,21,56,774,129.0,0.428,0.353,0.781,133.0,0.272,0.225,5.01,133.0,60.0,68.0,28.0,16.0,0.469,1178+2/3,1231.0,160.0,499.0,79.0,743.0,727.0,656.0,1.47,10,6,35,0,5207,19799.0,0.272,212,16,71,36,17,51,3.0,133,107,1,3536,1477,134.0,0.979,10,100,53.0,34.6,133,155,92,63.0,59.4,0,0.0
2001,»ï¼º,0.277,133,5280,4553,739,1262,244,21,162,2034,695,69,42.0,520,27,95,814,111.0,0.447,0.36,0.807,133.0,0.267,0.223,4.39,133.0,81.0,52.0,43.0,20.0,0.609,1187+1/3,1195.0,132.0,561.0,61.0,844.0,644.0,579.0,1.48,7,6,51,0,5243,20128.0,0.265,207,13,76,37,20,38,8.0,133,79,7,3562,1365,112.0,0.984,10,95,48.0,33.6,133,117,73,44.0,62.4,0,0.0
2001,µÎ»ê,0.276,133,5303,4583,732,1266,221,26,130,1929,688,54,46.0,560,27,60,697,116.0,0.421,0.359,0.78,133.0,0.278,0.163,4.96,133.0,65.0,63.0,35.0,40.0,0.508,1180+1/3,1290.0,128.0,546.0,60.0,799.0,733.0,650.0,1.56,1,3,27,0,5282,20071.0,0.284,196,23,85,48,17,47,0.0,133,109,3,3541,1599,140.0,0.979,12,126,56.0,30.8,133,166,132,34.0,79.5,0,0.0
2001,LG,0.276,133,5319,4521,669,1247,219,24,85,1769,630,114,41.0,590,24,52,759,100.0,0.391,0.363,0.754,133.0,0.28,0.263,5.09,133.0,58.0,67.0,26.0,27.0,0.464,1184+2/3,1253.0,127.0,647.0,69.0,765.0,732.0,670.0,1.6,0,3,43,0,5380,21119.0,0.277,204,23,99,46,43,52,6.0,133,103,12,3554,1485,129.0,0.98,16,110,55.0,33.3,133,154,96,58.0,62.3,0,0.0
2001,ÇÑÈ­,0.275,133,5259,4556,659,1255,211,15,148,1940,628,75,34.0,549,28,45,877,106.0,0.426,0.357,0.783,133.0,0.265,0.233,4.82,133.0,61.0,68.0,25.0,33.0,0.473,1185,1288.0,142.0,541.0,66.0,813.0,733.0,634.0,1.54,7,5,49,0,5331,20774.0,0.28,238,26,73,45,44,57,5.0,133,117,2,3555,1413,130.0,0.977,9,111,48.0,30.2,133,200,135,65.0,67.5,0,0.0
2001,Çö´ë,0.268,133,5225,4445,711,1192,166,20,169,1905,667,77,29.0,598,14,76,911,109.0,0.429,0.362,0.791,133.0,0.279,0.232,4.34,133.0,72.0,57.0,39.0,23.0,0.558,1183+1/3,1250.0,98.0,531.0,54.0,757.0,628.0,570.0,1.51,6,3,56,0,5218,20097.0,0.277,219,26,78,37,8,54,1.0,133,116,6,3550,1553,147.0,0.978,5,96,69.0,41.8,133,154,99,55.0,64.3,0,0.0
2001,SK,0.26,133,5077,4400,596,1143,215,11,113,1719,555,122,26.0,457,23,71,770,95.0,0.391,0.337,0.728,133.0,0.255,0.274,4.38,133.0,60.0,71.0,33.0,22.0,0.458,1171+1/3,1148.0,155.0,508.0,65.0,908.0,640.0,570.0,1.41,11,8,61,0,5110,19710.0,0.259,217,9,76,34,31,54,1.0,133,96,3,3514,1434,124.0,0.981,19,106,44.0,29.3,133,182,123,59.0,67.6,0,0.0
2002,»ï¼º,0.284,133,5304,4648,777,1321,266,16,191,2192,731,55,34.0,469,26,97,804,116.0,0.472,0.36,0.832,133.0,0.278,0.165,3.92,133.0,82.0,47.0,37.0,22.0,0.636,1197+2/3,1182.0,148.0,385.0,74.0,987.0,581.0,521.0,1.31,2,8,45,0,5089,19535.0,0.262,214,22,80,33,16,45,3.0,133,87,5,3593,1409,115.0,0.983,14,74,65.0,46.8,133,76,47,29.0,61.8,49,5.0
2002,SK,0.27,133,5090,4475,618,1207,204,27,158,1939,587,96,34.0,385,15,100,815,94.0,0.433,0.339,0.772,133.0,0.271,0.218,4.47,133.0,61.0,69.0,25.0,15.0,0.469,1179,1150.0,176.0,402.0,78.0,948.0,638.0,586.0,1.32,5,7,54,0,5074,19578.0,0.255,209,15,55,23,34,34,3.0,133,94,8,3537,1363,95.0,0.981,8,129,50.0,27.9,133,135,80,55.0,59.3,60,11.0
